ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013103303,3739,266,106,183,168
4013103304,5304,406,269,782,415
4013103305,3234,153,184,290,291
4013103306,4466,481,455,340,215
4013103400,4728,279,242,222,352
4013103501,3040,145,153,239,112
4013103502,6195,445,275,271,231
4013103604,4843,341,398,350,288
4013103605,6154,392,251,339,155
4013103606,4778,339,160,289,195
4013103607,4566,192,165,253,189
4013103608,4413,505,365,449,89
4013103609,5647,449,506,131,298
4013103611,5244,206,210,139,245
4013103612,5573,323,406,108,143
4013103614,2909,213,160,186,117
4013103615,5990,756,456,409,432
4013103701,4635,23,191,213,213
4013103702,3423,57,192,93,124
4013103900,6272,358,355,316,468
4013104000,7256,780,487,260,467
4013104100,7241,442,531,498,529
4013104202,5346,210,139,456,356
4013104203,7325,718,167,467,440
4013104204,3883,182,324,289,389
4013104205,5948,285,320,427,329
4013104206,4376,304,397,324,269
4013104207,4257,161,184,124,273
4013104212,6230,345,313,352,598
4013104214,2424,160,171,118,165
4013104215,4000,185,203,206,219
4013104216,5545,406,234,390,373
4013104217,5645,272,187,205,611
4013104218,4081,145,326,326,248
4013104219,3284,138,272,149,449
4013104221,5974,317,375,601,342
4013104222,6079,378,419,299,388
4013104223,2120,97,44,61,96
4013104224,6002,326,366,410,273
4013104225,4012,230,208,243,270
4013104226,4450,231,318,184,241
4013104227,2197,135,281,142,48
4013104301,4015,245,300,278,271
4013104302,3862,306,336,129,125
4013104401,4591,238,180,149,216
4013104402,2703,463,335,38,14
4013104501,4321,319,319,401,360
4013104502,5884,611,435,574,409
4013104600,4026,321,106,272,235
4013104701,2836,203,131,39,77
4013104702,4289,184,168,285,277
4013104801,3609,220,334,90,55
4013104802,5736,76,385,230,535
4013104900,4437,313,236,261,270
4013105002,3026,140,208,100,177
4013105003,4694,167,321,305,257
4013105004,3649,178,111,156,194
4013105101,4381,213,245,288,244
4013105102,4573,165,92,201,40
4013105103,3236,137,90,206,227
4013105200,6975,723,267,408,242
4013105300,5417,379,372,373,161
4013105400,4216,316,321,362,150
4013105501,2609,267,225,154,182
4013105502,2011,316,125,100,93
4013105503,3684,314,229,190,176
4013105601,3989,217,248,517,466
4013105602,6552,857,386,495,478
4013105701,3583,94,334,332,344
4013105702,4880,481,281,429,356
4013105800,6968,451,774,510,368
4013105900,5132,399,339,210,94
4013106001,1723,198,129,72,105
4013106002,2766,202,205,141,134
4013106003,4207,368,512,189,303
4013106100,5569,249,320,90,347
4013106200,3369,116,288,300,211
4013106300,5023,251,311,503,57
4013106400,2966,118,136,217,59
4013106501,3306,265,330,199,133
4013106502,3451,131,100,119,56
4013106600,4098,279,224,284,195
4013106701,4940,578,267,313,202
4013106702,1377,46,65,82,136
4013106703,2351,165,150,123,91
4013106801,4694,528,386,383,334
4013106802,3558,140,323,239,262
4013106900,8561,715,704,521,1171
4013107000,9081,1169,378,795,874
4013107101,4504,317,288,388,467
4013107102,6246,395,758,772,625
4013107201,1825,85,32,126,540
4013107202,5254,361,449,707,485
4013107300,6635,686,664,441,605
4013107400,7683,706,813,404,400
4013107500,3843,127,82,238,277
4013107601,3581,146,94,87,185
4013107602,3137,226,177,256,158
4013107700,4333,118,192,288,149
4013107800,2217,26,16,21,28
4013107900,3729,223,182,160,205
4013108000,2924,185,126,271,443
4013108100,2377,170,178,89,113
4013108200,3366,158,173,144,167
4013108301,3487,259,176,111,94
4013108302,2930,133,47,110,116
4013108400,5642,182,461,299,31
4013108501,2437,156,113,119,125
4013108502,3521,164,84,35,166
4013108601,2833,247,120,149,127
4013108602,6632,314,493,509,366
4013108802,2030,93,36,34,96
4013108901,2107,91,54,84,27
4013108902,5116,314,387,331,437
4013109001,4952,541,636,435,464
4013109002,4674,514,470,437,331
4013109003,6165,668,653,692,324
4013109101,3917,284,446,403,405
4013109102,6637,298,662,632,484
4013109200,3935,267,193,233,260
4013109300,5343,320,595,533,500
4013109400,9113,733,941,998,314
4013109500,6561,521,675,700,559
4013109601,5491,580,505,502,667
4013109602,7269,877,597,687,664
4013109603,5317,543,624,414,438
4013109604,4253,561,410,357,294
4013109701,8685,1138,993,606,798
4013109702,5902,382,699,564,682
4013109703,3279,186,211,313,404
4013109704,2586,279,216,353,204
4013109705,2449,170,142,122,270
4013109801,4994,413,624,489,385
4013109802,5894,309,363,529,720
4013109900,9128,952,915,1138,1006
4013110001,5362,541,337,535,652
4013110002,4064,344,308,287,420
4013110100,7122,555,837,806,658
4013110400,5179,249,266,149,151
4013110501,3027,72,51,160,42
4013110502,2605,134,13,61,30
4013110600,4251,117,156,267,205
4013110701,2674,66,160,104,224
4013110702,4305,221,241,247,290
4013110801,5502,429,475,300,212
4013110802,2227,88,117,109,71
4013110901,3149,84,67,317,54
4013110902,5277,612,655,264,235
4013111000,4619,404,233,229,306
4013111100,4541,307,338,291,236
4013111201,6592,426,768,155,326
4013111202,2418,186,177,218,132
4013111203,1567,108,91,89,53
4013111204,2766,143,121,51,73
4013111300,6007,295,155,301,559
4013111401,4584,357,387,348,423
4013111402,4125,282,252,201,275
4013111501,2148,70,200,277,259
4013111502,6364,427,571,540,429
4013111601,3591,184,185,320,324
4013111602,5242,341,392,421,498
4013111700,6238,416,270,294,309
4013111800,4584,242,176,277,97
4013111900,2481,160,53,97,96
4013112100,3748,353,420,288,355
4013112201,4941,393,332,465,519
