ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013812800,7052,500,775,569,507
4013812900,2840,68,209,181,171
4013813000,5168,150,397,408,311
4013813100,3563,295,384,341,293
4013813200,3958,268,318,390,358
4013813300,5824,312,530,828,319
4013813400,3570,96,268,405,350
4013813500,3302,141,206,417,351
4013813600,3877,257,317,346,278
4013813700,2478,0,0,0,0
4013813800,2629,0,21,12,0
4013813900,5662,470,469,559,380
4013814000,2573,9,60,64,84
4013814100,5222,327,406,559,494
4013814200,2642,81,79,156,271
4013814300,4000,285,272,334,312
4013814400,4522,327,231,386,333
4013814500,5060,397,280,393,546
4013814600,5088,307,334,401,507
4013814700,4034,444,339,283,292
4013814800,9087,805,1021,630,573
4013814900,2979,277,340,114,199
4013815000,3969,169,278,499,503
4013815100,5541,478,543,577,500
4013815200,10771,1288,895,623,622
4013815300,3772,153,239,467,496
4013815400,9601,595,873,1111,893
4013815500,7471,465,549,649,526
4013815600,6381,485,598,651,689
4013815700,5179,408,440,423,481
4013815800,6486,729,838,649,304
4013815900,10513,760,1146,1095,850
4013816000,18328,1306,1891,2183,1993
4013816100,6801,654,583,873,639
4013816200,3729,378,381,508,327
4013816300,6318,399,277,280,170
4013816400,7707,715,472,578,589
4013816500,4164,286,411,419,248
4013816600,5675,353,512,935,639
4013816700,2174,202,211,391,226
4013816800,6148,441,631,662,560
4013816900,8390,547,789,765,716
4013817000,3551,77,233,424,323
4013817100,10074,832,834,852,759
4013817200,7141,293,492,776,681
4013817300,5485,0,0,0,0
4013817400,2790,0,0,0,5
4013817500,2911,0,9,0,0
4013817600,2527,130,265,156,155
4013940700,123,0,12,12,10
4013941000,3191,231,298,353,307
4013941100,25,0,0,5,5
4013941200,1053,72,69,96,100
4013941300,7727,670,535,478,515
4013980100,0,0,0,0,0
4013980400,13,0,0,0,0
4013980500,0,0,0,0,0
4013980600,4291,366,353,564,114
4013980700,0,0,0,0,0
